architecture,condition,phase1_old_accuracy,retained_old_accuracy,forgetting,new_class_accuracy,learning_rate,optimizer,seed
784 -> 1000 -> 10,sequential,90.15214386157805,0.0,90.15214386157805,91.78024743132733,0.001,none (direct local Oja and delta updates),0
784 -> 1000 -> 10,interleaved,90.15214386157805,84.43983404138442,5.712309820193639,84.48312015097505,0.001,none (direct local Oja and delta updates),0
