condition,target_reach_rate,mean_old_before,mean_retained_old,mean_forgetting,std_forgetting,mean_new_accuracy,mean_joint_accuracy
interleaved,1.0,90.69157544700447,83.60572556035345,7.085849886651028,0.6663788207395945,80.29982327012904,81.95277441524124
sequential,1.0,90.69157544700447,0.004592422502870264,90.6869830245016,0.3844363934997833,82.16100508781854,41.0827987551607
