seed,variant,steps,macro_accuracy,micro_accuracy,minimum_digit_accuracy,finite_weights,per_class_accuracy
0,oja,4000,84.57147994282165,86.04,74.10926365795724,True,"{""0"": 92.52437703141929, ""1"": 96.32606199770379, ""2"": 81.73277661795407, ""3"": 78.16091954022988, ""4"": 84.91686460807601, ""5"": 74.10926365795724, ""6"": 91.28540305010893, ""7"": 88.22134387351778, ""8"": 81.19858989424206, ""9"": 77.23919915700738}"
1,oja,4000,83.70509800058821,85.56,69.35866983372921,True,"{""0"": 92.95774647887323, ""1"": 96.61308840413318, ""2"": 83.92484342379959, ""3"": 78.42617152961981, ""4"": 79.57244655581948, ""5"": 69.35866983372921, ""6"": 92.5925925925926, ""7"": 88.45849802371542, ""8"": 80.9635722679201, ""9"": 74.18335089567967}"
2,oja,4000,83.65086233503266,85.24,75.77197149643706,True,"{""0"": 91.00758396533044, ""1"": 96.95752009184845, ""2"": 83.92484342379959, ""3"": 77.18832891246684, ""4"": 78.50356294536817, ""5"": 75.77197149643706, ""6"": 89.97821350762527, ""7"": 88.61660079051383, ""8"": 77.3207990599295, ""9"": 77.23919915700738}"
