rule,condition,architecture,phase1_old_accuracy,retained_old_accuracy,forgetting,normalized_forgetting,new_class_accuracy,balanced_final_accuracy,learning_rate,optimizer,model_seed,data_split_seed,data_order_seed,device
backprop,sequential,784-1000-10,99.15629322268326,0.7607192254495159,98.39557399723374,0.9923280792300181,99.24512476410149,50.002921994775505,0.001,pytorch_adam,0,0,1000,cuda
backprop,interleaved,784-1000-10,99.15629322268326,97.71784232365145,1.4384508990318068,0.014506904728692933,97.56762423988258,97.64273328176702,0.001,pytorch_adam,0,0,1000,cuda
