rule,checkpoint,probe_split,layer,snr,num_updates,num_coordinates,finite_coordinate_fraction,cosine_mean,cosine_std,cosine_sem,cosine_valid_batches,cosine_total_batches,mean_direction_norm,zero_or_invalid_cosine_batches,condition,architecture
backprop,phase2_epoch_20,old_0_5,output_weight,1.6300644996586198,8,10000,1.0,0.9999999999999997,5.455123185527048e-16,1.9286772983470682e-16,8,8,10.427523732185364,0,sequential,784-1000-10
backprop,phase2_epoch_20,new_6_9,hidden_weight,0.29291940696530655,8,784000,1.0,0.9999999999999797,3.0142562420749337e-14,1.0657005145025325e-14,8,8,0.11637729958238197,0,sequential,784-1000-10
backprop,phase2_epoch_20,new_6_9,output_weight,0.14400529201712037,8,10000,1.0,1.0,0.0,0.0,8,8,0.20853864006494405,0,sequential,784-1000-10
backprop,initial,old_0_5,hidden_weight,1.332662975077337,8,784000,1.0,0.9999999999999503,6.456630428094879e-14,2.2827635796606452e-14,8,8,1.0026073455810547,0,interleaved,784-1000-10
backprop,initial,old_0_5,output_weight,12.492588848183338,8,10000,1.0,0.9999999999999951,1.5560106275163912e-15,5.501328331575877e-16,8,8,5.2490867376327515,0,interleaved,784-1000-10
backprop,initial,new_6_9,hidden_weight,2.3928446650991755,8,784000,1.0,0.9999999999999329,4.9234980248626694e-14,1.7407194202694833e-14,8,8,1.1928640455007553,0,interleaved,784-1000-10
backprop,initial,new_6_9,output_weight,19.21648818343095,8,10000,1.0,0.9999999999999987,1.2074700801556025e-15,4.269051408789453e-16,8,8,6.9603723883628845,0,interleaved,784-1000-10
backprop,phase1_end,old_0_5,hidden_weight,0.2431803780394591,8,784000,1.0,0.9999999999999551,4.8324662830037844e-14,1.7085348392836626e-14,8,8,0.0032917325704318046,0,interleaved,784-1000-10
backprop,phase1_end,old_0_5,output_weight,0.15992013382057085,8,10000,1.0,1.0,0.0,0.0,8,8,0.0046841910144053145,0,interleaved,784-1000-10
backprop,phase1_end,new_6_9,hidden_weight,0.9951630092145567,8,784000,1.0,0.9999999999999705,6.177553527344193e-14,2.1840949951639773e-14,8,8,2.232481360435486,0,interleaved,784-1000-10
backprop,phase1_end,new_6_9,output_weight,1.760046489066749,8,10000,1.0,0.999999999999999,9.60565210212719e-16,3.396110869566475e-16,8,8,9.971762776374817,0,interleaved,784-1000-10
backprop,phase2_epoch_1,old_0_5,hidden_weight,0.2431803780394591,8,784000,1.0,0.9999999999999551,4.8324662830037844e-14,1.7085348392836626e-14,8,8,0.0032917325704318046,0,interleaved,784-1000-10
backprop,phase2_epoch_1,old_0_5,output_weight,0.15992013382057085,8,10000,1.0,1.0,0.0,0.0,8,8,0.0046841910144053145,0,interleaved,784-1000-10
backprop,phase2_epoch_1,new_6_9,hidden_weight,0.9951630092145567,8,784000,1.0,0.9999999999999705,6.177553527344193e-14,2.1840949951639773e-14,8,8,2.232481360435486,0,interleaved,784-1000-10
backprop,phase2_epoch_1,new_6_9,output_weight,1.760046489066749,8,10000,1.0,0.999999999999999,9.60565210212719e-16,3.396110869566475e-16,8,8,9.971762776374817,0,interleaved,784-1000-10
backprop,phase2_epoch_5,old_0_5,hidden_weight,0.3870864819520982,8,784000,1.0,0.9999999999999788,2.6552440718126746e-14,9.38770544442061e-15,8,8,0.06671387687674724,0,interleaved,784-1000-10
backprop,phase2_epoch_5,old_0_5,output_weight,0.5333831497782036,8,10000,1.0,0.9999999999999994,5.949209167683839e-16,2.1033630725832093e-16,8,8,0.09484623189200647,0,interleaved,784-1000-10
backprop,phase2_epoch_5,new_6_9,hidden_weight,0.38958292954896234,8,784000,1.0,0.9999999999999645,5.467563788553323e-14,1.9330757157280327e-14,8,8,0.20284083718433976,0,interleaved,784-1000-10
backprop,phase2_epoch_5,new_6_9,output_weight,0.5561720501161888,8,10000,1.0,0.9999999999999996,6.0954031823761885e-16,2.1550504621621324e-16,8,8,0.3725982280448079,0,interleaved,784-1000-10
backprop,phase2_epoch_10,old_0_5,hidden_weight,0.3479491733197816,8,784000,1.0,0.9999999999999689,4.5756930746768306e-14,1.6177518008661553e-14,8,8,0.08079178264597431,0,interleaved,784-1000-10
backprop,phase2_epoch_10,old_0_5,output_weight,0.46188348449091515,8,10000,1.0,0.9999999999999999,2.7516642255067785e-16,9.728602167021361e-17,8,8,0.09444548981264234,0,interleaved,784-1000-10
backprop,phase2_epoch_10,new_6_9,hidden_weight,0.3580855532874622,8,784000,1.0,0.9999999999999941,1.66319730788886e-14,5.880290474297115e-15,8,8,0.24831505492329597,0,interleaved,784-1000-10
backprop,phase2_epoch_10,new_6_9,output_weight,0.42947429020979805,8,10000,1.0,0.9999999999999998,3.9587330157928224e-16,1.3996234801870881e-16,8,8,0.39214389957487583,0,interleaved,784-1000-10
backprop,phase2_epoch_20,old_0_5,hidden_weight,0.33615858259790116,8,784000,1.0,0.9999999999999687,4.2048986477531554e-14,1.4866561740142e-14,8,8,0.10422016875963891,0,interleaved,784-1000-10
backprop,phase2_epoch_20,old_0_5,output_weight,0.40447415948782484,8,10000,1.0,0.9999999999999999,3.9364301171037323e-16,1.3917382147355022e-16,8,8,0.12168209428273258,0,interleaved,784-1000-10
backprop,phase2_epoch_20,new_6_9,hidden_weight,0.36068537440990295,8,784000,1.0,0.9999999999999898,1.949178932079775e-14,6.891388203097809e-15,8,8,0.45221818424761295,0,interleaved,784-1000-10
backprop,phase2_epoch_20,new_6_9,output_weight,0.42214718449646754,8,10000,1.0,1.0,0.0,0.0,8,8,0.6677417922765017,0,interleaved,784-1000-10
