architecture,condition,phase1_old_accuracy,retained_old_accuracy,forgetting,new_class_accuracy,learning_rate,optimizer,seed
784 -> 300 -> 300 -> 10,sequential,81.72890734045997,0.0,81.72890734045997,82.91046340951982,0.01,none (direct local Oja and delta updates),0
784 -> 300 -> 300 -> 10,interleaved,81.72890734045997,69.46058091286307,12.268326427596904,72.23736632417697,0.01,none (direct local Oja and delta updates),0
