architecture,condition,phase1_old_accuracy,retained_old_accuracy,forgetting,new_class_accuracy,learning_rate,optimizer,seed
784 -> 100 -> 10,sequential,90.08298757989706,0.0,90.08298757989706,92.53512266722583,0.01,none,0
784 -> 100 -> 10,interleaved,90.08298757989706,78.81051177470681,11.272475805190254,78.21346194170685,0.01,none,0
784 -> 1000 -> 10,sequential,86.91562933875647,0.0,86.91562933875647,89.66240301950094,0.01,none,0
784 -> 1000 -> 10,interleaved,86.91562933875647,77.74550487061919,9.170124468137288,79.9119312224785,0.01,none,0
784 -> 300 -> 300 -> 10,sequential,81.72890734045997,0.0,81.72890734045997,82.91046340951982,0.01,none,0
784 -> 300 -> 300 -> 10,interleaved,81.72890734045997,69.46058091286307,12.268326427596904,72.23736632417697,0.01,none,0
