architecture,condition,phase1_old_accuracy_lr_0.01,phase1_old_accuracy_lr_0.001,retained_old_accuracy_lr_0.01,retained_old_accuracy_lr_0.001,forgetting_lr_0.01,forgetting_lr_0.001,new_class_accuracy_lr_0.01,new_class_accuracy_lr_0.001
784 -> 100 -> 10,sequential,90.08298757989706,89.08713694594873,0.0,0.0,90.08298757989706,89.08713694594873,92.53512266722583,92.45124764101489
784 -> 100 -> 10,interleaved,90.08298757989706,89.08713694594873,78.81051177470681,79.57123101169803,11.272475805190254,9.515905934250696,78.21346194170685,83.41371356678549
784 -> 1000 -> 10,sequential,86.91562933875647,90.15214386157805,0.0,0.0,86.91562933875647,90.15214386157805,89.66240301950094,91.78024743132733
784 -> 1000 -> 10,interleaved,86.91562933875647,90.15214386157805,77.74550487061919,84.43983404138442,9.170124468137288,5.712309820193639,79.9119312224785,84.48312015097505
784 -> 300 -> 300 -> 10,sequential,81.72890734045997,83.18118951792209,0.0,0.0,81.72890734045997,83.18118951792209,82.91046340951982,91.08827846508701
784 -> 300 -> 300 -> 10,interleaved,81.72890734045997,83.18118951792209,69.46058091286307,78.65836791972401,12.268326427596904,4.522821598198078,72.23736632417697,74.9003984063745
