condition,target_reach_rate,mean_old_before,mean_retained_old,mean_forgetting,std_forgetting,mean_new_accuracy,mean_joint_accuracy
interleaved,0.0,88.51018628328896,,,0.0,,
sequential,1.0,88.51018628328896,0.0,88.51018628328896,0.0,83.34031740306906,41.67015870153453
