seed,variant,phase,step,examples_seen,old_examples_seen,new_examples_seen,valid_joint_loss,valid_joint_micro_accuracy,valid_joint_macro_accuracy,mean_lin1_update_norm,mean_lin2_update_norm,mean_lin1_weight_norm,mean_lin2_weight_norm,mean_hidden_active_fraction
0,centered,iid,0,0,0,0,2.4127766590118407,9.07,9.562012605490867,,,,,
0,centered,iid,100,6400,3094,3306,2.4489461700439454,12.91,10.332443115051811,17.0042548084259,0.6172629019618034,5.768877487182618,1.830457066297531,1.0
0,centered,iid,200,12800,6353,6447,2.386643787765503,14.7,12.435850870633478,26.16990592956543,0.6399983447790146,5.7911224365234375,1.8953566062450409,1.0
0,centered,iid,300,19200,9592,9608,2.3677093479156492,8.63,10.09486166007905,37.48071075439453,0.6507575631141662,5.833471822738647,2.003683787584305,1.0
0,centered,iid,400,25600,12786,12814,2.644152787399292,8.51,10.0,48.30269382476806,0.7151610976457596,5.91152177810669,2.1639430594444273,1.0
0,centered,iid,500,32000,15984,16016,2.975001948547363,8.51,10.0,57.495028495788574,0.7464142480492592,6.043067264556885,2.3630678248405457,1.0
0,centered,iid,600,38400,19190,19210,2.958667247009277,8.51,10.0,63.33593193054199,0.7872415959835053,6.236836023330689,2.511926040649414,1.0
0,centered,iid,700,44800,22398,22402,3.3134986251831053,8.51,10.0,67.64709655761719,0.8162357580661773,6.49756338596344,2.6393877053260804,1.0
0,centered,iid,800,51152,25558,25594,3.433990858268738,8.51,10.0,70.87078895568848,0.7954362559318543,6.822744159698487,2.7682545375823975,0.9999843740463257
0,centered,iid,900,57552,28769,28783,3.3727029426574706,8.51,10.0,72.80640739440918,0.8618434742093086,7.208915057182312,2.8786542415618896,0.999765619635582
0,centered,iid,1000,63952,31942,32010,3.6045447792053222,8.51,10.0,73.91698867797851,0.8089549964666367,7.647917132377625,2.9938177251815796,0.9987343597412109
0,centered,iid,1100,70352,35191,35161,3.586702766799927,8.51,10.0,74.12932258605957,0.8383136469125748,8.130458436012269,3.1160904812812804,0.9953687274456025
0,centered,iid,1200,76752,38364,38388,3.702949845123291,8.51,10.0,75.26223495483399,0.8588395565748215,8.648064231872558,3.208310327529907,0.9858640402555465
0,oja,iid,0,0,0,0,2.418802035903931,10.57,10.278602713385322,,,,,
0,oja,iid,100,6400,3094,3306,1.4426581935882568,71.97,65.25916939866296,10.367642035484314,0.6779687634110451,10.0,2.272306796312332,1.0
0,oja,iid,200,12800,6353,6447,0.9493329235076904,76.74,72.83981779126755,14.338364877700805,0.5873589166998863,10.0,3.917049162387848,1.0
0,oja,iid,300,19200,9592,9608,0.7896083985328675,78.19,74.29647158859365,15.908957176208496,0.5043530920147896,10.0,5.163799934387207,1.0
0,oja,iid,400,25600,12786,12814,0.7311171107292175,78.9,76.29477088468526,16.049896717071533,0.4959888143837452,10.0,5.959603781700134,1.0
0,oja,iid,500,32000,15984,16016,0.687426199054718,79.82,77.37902103407683,16.143224792480467,0.4893470340967178,10.0,6.517580666542053,0.9999515593051911
0,oja,iid,600,38400,19190,19210,0.6754233319282532,79.85,78.0062536002173,15.656139230728149,0.48584200263023375,10.0,6.957744989395142,0.9998484283685685
0,oja,iid,700,44800,22398,22402,0.6439602892875671,80.5,78.40222163841557,15.279830560684204,0.47052678689360616,10.0,7.315987405776977,0.9996499848365784
0,oja,iid,800,51152,25558,25594,0.6228661320686341,81.36,79.37827185861308,15.170420169830322,0.46246733456850053,10.0,7.61099148273468,0.9992593562602997
0,oja,iid,900,57552,28769,28783,0.6052346799850464,81.83,79.59180364598515,15.145357990264893,0.4481206342577934,10.0,7.883436341285705,0.9991015428304673
0,oja,iid,1000,63952,31942,32010,0.6048937365531921,82.17,80.95492990960304,14.835210065841675,0.43270051792263986,10.0,8.118339738845826,0.9987531024217605
0,oja,iid,1100,70352,35191,35161,0.5799155228614807,82.55,80.64894528448627,14.95604549407959,0.4368479201197624,10.0,8.336841354370117,0.9985562282800674
0,oja,iid,1200,76752,38364,38388,0.5743872065067291,82.2,80.27364488789974,14.85637321472168,0.44232961654663083,10.0,8.537972860336303,0.9987749791145325
0,hard_wta,iid,0,0,0,0,3.9118191627502443,10.82,11.260421279639782,,,,,
0,hard_wta,iid,100,6400,3094,3306,16.853081045532228,8.51,10.0,483.2823046875,34.85443130970001,10.0,2.6757929384708405,0.04999999701976776
0,hard_wta,iid,200,12800,6353,6447,16.090464849853515,12.65,10.0,251.25183502197265,38.823064212799075,10.0,2.818826913833618,0.04999999701976776
0,hard_wta,iid,300,19200,9592,9608,14.649543925476083,17.42,10.0,251.92704650878906,39.77796779632568,10.0,2.8214944863319396,0.04999999701976776
0,hard_wta,iid,400,25600,12786,12814,16.090464849853515,12.65,10.0,251.18545120239258,39.97639150619507,10.0,2.8584030532836913,0.04999999701976776
0,hard_wta,iid,500,32000,15984,16016,14.406139949186706,17.42,10.0,251.7088186645508,40.03758655548096,10.0,2.826520583629608,0.04999999701976776
0,hard_wta,iid,600,38400,19190,19210,13.52208254482746,11.31,10.0,256.9625256347656,39.75489164352417,10.0,2.8364332699775696,0.04999999701976776
0,hard_wta,iid,700,44800,22398,22402,15.048829977989197,9.58,10.0,256.2103158569336,39.28824071884155,10.0,2.86680762052536,0.04999999701976776
0,hard_wta,iid,800,51152,25558,25594,15.933702603372373,4.21,10.0,254.01139572143555,40.04089248657227,10.0,2.8470483565330507,0.04999999701976776
0,hard_wta,iid,900,57552,28769,28783,15.644517716980785,8.51,10.0,251.6711915588379,39.38279930114746,10.0,2.808612844944,0.04999999701976776
0,hard_wta,iid,1000,63952,31942,32010,16.13737592469454,9.58,10.0,250.36049072265624,39.331571674346925,10.0,2.825690052509308,0.04999999701976776
0,hard_wta,iid,1100,70352,35191,35161,14.786918339669704,11.31,10.0,254.31942001342773,39.93609334945679,10.000000009536743,2.857061245441437,0.04999999701976776
0,hard_wta,iid,1200,76752,38364,38388,14.722225267297029,9.18,10.0,251.88962310791015,40.53140762329102,10.0,2.8671120023727417,0.04999999701976776
0,soft_wta,iid,0,0,0,0,5.146159520721436,9.71,10.44484005643025,,,,,
0,soft_wta,iid,100,6400,3094,3306,15.211798367309571,17.42,10.0,8244.214383544922,91.3906257724762,10.000000009536743,5.010822395086288,0.04314687410369515
0,soft_wta,iid,200,12800,6353,6447,14.459040036336985,12.65,10.0,8510.76921875,94.90425308227539,10.000000019073486,5.012040641307831,0.011268749693408608
