seed,variant,steps,macro_accuracy,micro_accuracy,minimum_digit_accuracy,finite_weights,per_class_accuracy
0,centered,1200,10.0,8.51,0.0,True,"{""0"": 0.0, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0, ""5"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 100.0, ""9"": 0.0}"
0,oja,1200,80.27364488789974,82.2,60.48472075869336,True,"{""0"": 90.465872156013, ""1"": 95.46498277841562, ""2"": 79.22755741127348, ""3"": 73.74005305039788, ""4"": 87.88598574821853, ""5"": 65.7957244655582, ""6"": 86.38344226579521, ""7"": 85.8498023715415, ""8"": 77.43830787309048, ""9"": 60.48472075869336}"
0,hard_wta,1200,10.0,9.18,0.0,True,"{""0"": 0.0, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0, ""5"": 0.0, ""6"": 100.0, ""7"": 0.0, ""8"": 0.0, ""9"": 0.0}"
0,soft_wta,1200,10.0,9.18,0.0,True,"{""0"": 0.0, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0, ""5"": 0.0, ""6"": 100.0, ""7"": 0.0, ""8"": 0.0, ""9"": 0.0}"
