rule,checkpoint,probe_split,layer,snr,num_updates,num_coordinates,finite_coordinate_fraction,cosine_mean,cosine_std,cosine_sem,cosine_valid_batches,cosine_total_batches,mean_direction_norm,zero_or_invalid_cosine_batches,condition,architecture
feedback_alignment,phase2_epoch_5,new_6_9,output_weight,0.2472429607150736,8,10000,1.0,0.9999999999998778,1.4336384330020659e-13,5.068677288727083e-14,8,8,0.3554123677313328,0,sequential,784-1000-10
feedback_alignment,phase2_epoch_10,old_0_5,hidden_weight,1.1458067775936347,8,784000,1.0,0.6110359260092095,0.016232646457191954,0.005739107193242108,8,8,0.42004208266735077,0,sequential,784-1000-10
feedback_alignment,phase2_epoch_10,old_0_5,output_weight,2.1174233245464285,8,10000,1.0,0.996511141802864,0.0033107208858235166,0.001170516594490871,8,8,13.736334204673767,0,sequential,784-1000-10
feedback_alignment,phase2_epoch_10,new_6_9,hidden_weight,0.30028983368970746,8,784000,1.0,0.6991825849448516,0.0505063578631059,0.017856694069018342,8,8,0.017148745064332616,0,sequential,784-1000-10
feedback_alignment,phase2_epoch_10,new_6_9,output_weight,0.21421490850744654,8,10000,1.0,0.9999999999995757,8.321488168919536e-13,2.942090356903315e-13,8,8,0.2917639861116186,0,sequential,784-1000-10
feedback_alignment,phase2_epoch_20,old_0_5,hidden_weight,1.107685389051539,8,784000,1.0,0.6119451542378024,0.024110108861776242,0.008524210735653926,8,8,0.41324494034051895,0,sequential,784-1000-10
feedback_alignment,phase2_epoch_20,old_0_5,output_weight,2.058655076421334,8,10000,1.0,0.9917937144488311,0.007630559799635386,0.002697810289285822,8,8,13.345187902450562,0,sequential,784-1000-10
feedback_alignment,phase2_epoch_20,new_6_9,hidden_weight,0.29531290443155744,8,784000,1.0,0.7464490624217025,0.06141207199218475,0.021712446276195143,8,8,0.017310862619524414,0,sequential,784-1000-10
feedback_alignment,phase2_epoch_20,new_6_9,output_weight,0.1855347270745543,8,10000,1.0,0.9999999999971232,5.7961493047435525e-12,2.049248239076929e-12,8,8,0.3079972101113526,0,sequential,784-1000-10
feedback_alignment,initial,old_0_5,hidden_weight,1.2987569010248106,8,784000,1.0,-0.0008553038924485729,0.01950754179934455,0.0068969575452982775,8,8,0.9126245379447937,0,interleaved,784-1000-10
feedback_alignment,initial,old_0_5,output_weight,7.125027837432929,8,10000,1.0,0.999999999999994,7.634405201071117e-16,2.699169844001617e-16,8,8,5.275056779384613,0,interleaved,784-1000-10
feedback_alignment,initial,new_6_9,hidden_weight,2.6917501170346876,8,784000,1.0,0.04869114663254334,0.008371173207628618,0.002959656670800669,8,8,1.2539520412683487,0,interleaved,784-1000-10
feedback_alignment,initial,new_6_9,output_weight,11.98325337610249,8,10000,1.0,0.9999999999999969,3.729707341797719e-16,1.3186506766132096e-16,8,8,8.494585037231445,0,interleaved,784-1000-10
feedback_alignment,phase1_end,old_0_5,hidden_weight,0.26909999212417995,8,784000,1.0,0.7545326079873105,0.02200293538956538,0.007779212409985575,8,8,0.00156599906114252,0,interleaved,784-1000-10
feedback_alignment,phase1_end,old_0_5,output_weight,0.19549328228388752,8,10000,1.0,0.999999999865718,1.9705106222909686e-10,6.966807117110338e-11,8,8,0.03236388562754655,0,interleaved,784-1000-10
feedback_alignment,phase1_end,new_6_9,hidden_weight,0.7071493350864962,8,784000,1.0,0.2116426342159105,0.06444094877594367,0.022783315932782357,8,8,0.1920810490846634,0,interleaved,784-1000-10
feedback_alignment,phase1_end,new_6_9,output_weight,1.1784560941858884,8,10000,1.0,0.826964504925273,0.11904097161949304,0.04208733913558944,8,8,5.552000552415848,0,interleaved,784-1000-10
